"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При клике по иконке 'search' появляется окно 'Search'","5388","testSearchIcon","All test","Sat Jul 12 12:51:27 GMT 2025","passed","Sat Jul 12 12:51:32 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testSearchIcon"
"Получаем токен Guest","3128","testGetAccessTokenGuest","All test","Sat Jul 12 12:49:58 GMT 2025","passed","Sat Jul 12 12:50:01 GMT 2025","api.test.AuthTest","Tests for API","api.test.AuthTest","testGetAccessTokenGuest"
"Проверка характеристик товара до и после помещения в корзину","701","testProductToCart","All test","Sat Jul 12 12:50:09 GMT 2025","passed","Sat Jul 12 12:50:10 GMT 2025","api.test.ProductGuestTest","Tests for API","api.test.ProductGuestTest","testProductToCart"
"Обновляем данные одного товара из корзины","168","testUpdateItemInCart","All test","Sat Jul 12 12:50:03 GMT 2025","passed","Sat Jul 12 12:50:03 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCart"
"Обновляем данные одного товара из корзины авторизованного пользователя","1","testUpdateItemInCart","All test","Sat Jul 12 12:50:09 GMT 2025","skipped","Sat Jul 12 12:50:09 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testUpdateItemInCart"
"При обновлении данных товара пытаемся изменить сам товар или задать колличесво одного товара больше 10","947","testUpdateItemInCartNegative","All test","Sat Jul 12 12:50:07 GMT 2025","failed","Sat Jul 12 12:50:08 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCartNegative"
"При обновлении данных товара пытаемся изменить сам товар или задать колличесво одного товара больше 10","968","testUpdateItemInCartNegative","All test","Sat Jul 12 12:50:08 GMT 2025","failed","Sat Jul 12 12:50:09 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCartNegative"
"Проверка стоимости досавки в зависимости от суммы товаров в корзине","770","testShipping","All test","Sat Jul 12 12:50:06 GMT 2025","passed","Sat Jul 12 12:50:07 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testShipping"
"Ложим 2 товара в корзину авторизованного пользователя, изменяем у одного товара количество и удаляем другой товар из корзины","197","testE2EFromCartUser","All test","Sat Jul 12 12:50:09 GMT 2025","broken","Sat Jul 12 12:50:09 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testE2EFromCartUser"
"При клике по иконке 'favorites' загружается стараница 'Favorites'","929","testFavoritesIcon","All test","Sat Jul 12 12:51:23 GMT 2025","passed","Sat Jul 12 12:51:23 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testFavoritesIcon"
